,Object Numer (scan #),Object Name,Type,ObjX,ObjY,ObjZ,ObjYAW,ObjPITCH,ObjROLL
,1,orange,solid,60,10,10,1.57,0,0
,2,potato,solid,50,10,10,1.57,0,0
,3,apple,solid,190,360,-70,0,0,1.57
,4,palm tree leaf,surface,40,10,10,1.57,0,0
,5,pecan leaf,surface,40,20,10,1.57,0,0.1
,6,short log,solid,40,10,10,1.57,0,0
,7,basil leaf,surface,30,10,10,1.57,0,0
,8,long log,solid,40,20,10,1.57,1.57,0
,9,tree branch with flower bud,solid,40,10,20,1.57,-1.57,1.57
,10,magnolia leaf,surface,40,10,20,1.57,0,0
,11,rock,solid,50,20,10,0,0,1.57
,12,rough surface 1,surface,30,20,10,-1.57,0,1.57
,13,round chuncky rock,solid,45,20,10,-1.57,0,1.57
,14,tree branch,solid,40,20,0,1.57,-1.57,0
,15,rough surface 2,surface,30,20,10,-1.57,0,1.57
,16,flat rough rock,solid,50,20,0,1.57,0,1.57
,17,curved thick tree branch,solid,30,-10,0,1.57,1.57,0
,18,smooth flat rock,solid,40,20,10,0,0,1.57
,19,acacia leaf,surface,30,10,10,-1.57,0,0
,20,rough surface 3,surface,30,20,10,1.57,0,1.57
,21,cut egg,solid,60,10,10,1.57,0,0
,22,banana,solid,40,20,10,1.57,0,-1.57
,23,white mushroom,solid,50,0,0,1.57,0,0
,24,kiwi,solid,50,10,10,0,0,1.57
,25,pear,solid,50,10,0,1.57,0,0
,26,crushed macaroon?,solid,50,30,20,-1.57,-1.57,0
,27,dry leaf,surface,20,10,10,-1.57,0,-1.57
,28,carrot,solid,50,10,10,1.57,0,0
,29,radish,solid,20,10,10,1.57,0,0
,30,half eaten apple,solid,50,10,10,1.57,0,0.2
,31,pumpkin,solid,30,20,0,0,-1.57,0
,32,dragon fruit (not actually),solid,20,0,5,0,1.57,1.57
,33,ginger,solid,,,,,,
,34,mango?,solid,,,,,,
,35,peanut,solid,,,,,,
,36,raspberry,solid,,,,,,
,37,some kind of round fruit,solid,,,,,,
,38,shiitake mushroom,solid,,,,,,
,39,short branch,solid,,,,,,
,40,piles of stones,solid,,,,,,
,41,piles of stones 2,solid,,,,,,
,42,portabella mushroom,solid,,,,,,
,43,stone field,solid,,,,,,
,44,stone field 2,solid,,,,,,
,45,stone field 3,solid,,,,,,
,46,stone field 4,solid,,,,,,
,47,celementine,solid,,,,,,
,48,dry hazel leaf,surface,,,,,,
,49,dry hazel leaf 2,surface,,,,,,
,50,rectangular-ish leaf,surface,,,,,,
,51,rectangular-ish leaf 2,surface,,,,,,
,52,rectangular-ish leaf 3,surface,,,,,,
,53,rectangular-ish leaf 4,surface,,,,,,
,54,dry willow leaf,surface,,,,,,
,55,damaged dry leaf,surface,,,,,,
,56,small brach with dry leaves,surface,,,,,,
,57,dry curved long leaf,surface,,,,,,
,58,dry long leaf,surface,,,,,,
,59,short pinecone,solid,,,,,,
,60,long pinecone,solid,,,,,,
,61,used aluminum foil,surface,,,,,,
,62,used aluminum foil 2,surface,,,,,,
,63,pile of leaves,solid,,,,,,
,64,clovers,surface,,,,,,
,65,acorn,solid,,,,,,
,66,corn,solid,,,,,,
,67,ice burg lettuce,solid,,,,,,
,68,white mushroom 2,solid,,,,,,
,69,edamame,solid,,,,,,
,70,dry leaf,surface,,,,,,
,71,lettuce leaf,surface,,,,,,
,72,lettuce leaf 2,surface,,,,,,
,73,lettuce leaf 3,surface,,,,,,
,74,lettuce leaf 4,surface,,,,,,
,75,lettuce leaf 5,surface,,,,,,
,76,rough surface 4,surface,,,,,,
,77,rough surface 5,surface,,,,,,
,78,dry leaf  2,surface,,,,,,
,79,thick tree branch,solid,,,,,,
,80,tree branch,solid,,,,,,
,81,tree branch 2,solid,,,,,,
,82,tree branch 3,solid,,,,,,
,83,round rock 2,solid,,,,,,
,84,thick tree branch 2,solid,,,,,,
,85,pinecone,solid,,,,,,
,86,dry green pea leaf,surface,,,,,,
,87,thick tree branch 3,,,,,,,
,88,pinecone 2,solid,,,,,,
,89,dry green pea leaf 2,surface,,,,,,
,90,long straight tree branch,solid,,,,,,
,91,long curved tree branch,solid,,,,,,
,92,multiple leaves,surface,,,,,,
,93,dry oak tree,surface,,,,,,
,94,sharp rock,solid,,,,,,
,95,flat rock,solid,,,,,,
,96,long tree branch ,solid,,,,,,
,97,tree branch 4,solid,,,,,,